单词,中文翻译,记忆方法
legible,（字迹）清楚的,leg-read，ible=able=能，能读的是字迹清楚地
illegible,字迹不清的,il-否定+legible
reminisce,回忆，想起,~ about sth；esce=isce，前面有个 remind，表示回忆起，想起；不及物
resilience,弹力，韧性,re-back，sil-sal/sult=leap(consult)；联想：re+silk丝绸+ence
elastic,（皮肤）有弹性的,e-加强，来自 last，加强有弹力
elasticity,弹力，弹性,
desultory,无秩序的，散漫的，不连贯的,de-off，向四周乱跳 —— 不连贯的
salient,显著的，杰出的,跳出来——脱颖而出的感觉=conspicuous
assail,攻击（言语或身体上的）,ass-as-to+sail-sal-扑/跳，加强猛扑过来
assault,攻击，袭击,ass-as-to+sault-sult-扑/跳，加强猛扑过来
resuscitate,复苏，苏醒,re-again，sus=sub，cite=call（excite），再一次在下面又说话了——苏醒
incite,煽动，激起,联想 excite，excite 是激动；in- 加强，不断加强去说
solicit,恳求,sol表示单独，单独去说是恳求
solicitor,律师,指的是不出庭的律师
revolt,反抗，起义，反叛,revolution（革命）;re-against，volt/volv=turn，转到我的反方向->对立，反过来“踢t”的是反抗
revolve,旋转,volv=turn，re-表示加强，再转一次还是旋转
devolve,移交，委托，传下,de-down，向下转交
convolute,缠绕，盘旋,volu=volv=turn，缠turn在一起con
voluble,滔滔不绝的，口若悬河的,vol+able，嘴巴能够转动volv起来
evolve,演变，发展，形成,~ from;e-表示出来，“转出来”->演变，演化；evolutionary theory 进化论
rotund,圆胖的，声音洪亮,-und是形容词后缀，词根rot-=wheel，如round；一个人的身材像轮子一样
rotate,旋转,rotating president 轮值主席
rote,死记硬背,一轮又一轮rot=wheel
dextrorotatory,右旋的,dextro-右，rot-whell
levorotatory,左旋的,levo-左，rot-whell
rumple,弄皱=crumple,ump-隆起，ru-反复
wrinkle,脸上的皱纹,wr-twist，扭，脸上扭曲是皱纹
sage,贤明的，明智的，审慎的，贤人，圣人,sag=wisdom 智慧，动词可以引申为“知道”的意思
saga,传奇，传说，英雄故事,gaga就是个saga
sagacious,明智的,-acious 表示多，智慧sag很多
presage,预感，预见，先知,pre表示之前，之前的智慧->预感
sapience,智慧,sap=sag
prescient,先知的,sci=know也表示“知道”，（conscious有意识的），pre-之前
nescient,无知的,ne-否定+sci=know
omniscient,无所不知的,omni表示全部，如omnivore（杂食动物），sci=know
prognosisi,（对于疾病的）预示，先知，预感,gno=know，如ignore，recognize；pro- 之前知道是预感
prognosticate,（重大事情）预示，先知,pro-之前+gno-know
cognition,知道,the ～ of sth；同源：recognize
cognizant,认知的，知道的,be ~ of；同源：recognize
sanctimonious,假装神圣的，假装虔诚的,"词根 sanct/sacr=holy 神圣的（sacrifice,sacred，secret-sacr变形）"
sanctimony,假神圣,sanct+money，为了钱而神圣
devout,虔诚的,源：devote，所有的一切都奉献给你了，那肯定是虔诚的
pious,虔诚的,"对照 bias（bi-2as作为，总是把别人作为第二位去看）,偏见"
sacrosanct,神圣不可侵犯的,sacr=sanct=holy，两个神圣的放在一起，不可侵犯
sanctuary,圣殿，神殿，保护区,-ary表示地方，神圣的地方->神殿
shrine,神殿,联想：shine，阳光洒在鲜花上
sanction,认可，批准授权；制裁,sanct-holy，ction-action，神所赋予你的行为
consecrate,奉为神圣，（对于宗教的）奉献,con-一起，secr-sacr-holy，大家一起把它奉为神圣
desecrate,亵渎,de-向下，secr-sacr-holy
execrate,痛恨,把一个人的秘密 secret说出去ex-了，遭到了别人的痛恨loathe
sacrilege,亵渎,sacr-holy，leg-选择，选择leg把腿leg迈近了圣地sacr
sanguine,乐天的，（由于健康）面色红润的,源自 sangui-blood；三姑sangu面色红润地走进来in
scrupulous,小心谨慎的，正直诚实的，仔细审查,scr/cr——手上的动作，screw 吝啬鬼——花钱谨慎
screw,吝啬鬼,scr/cr-手上的动作，花钱谨慎
scruple,顾及，考虑,to do without scruple 肆无忌惮做某事；scr-手上的动作，吝啬鬼花钱谨慎，顾及很多
wary,小心，机警的,warn 同源；be ~ of sth
gingerly,小心的，谨慎的,来自ginger姜，姜还是老的辣（精明，小心，谨慎）
chary,小心的，谨慎的,源自care
scrutinize,仔细检查,把小罐tin拧scru-screw开，仔细检查
scramble,爬，炒,scr+amble，漫步，徘徊，“用手走”->爬；～ eggs 炒鸡蛋
crawl,匍匐,cr-手上动作
scrap,碎片，废弃，打架，争吵,scr-打架用手打，手上的动作加上了个rap，吵架打架
scrape,擦，刮，刮擦声,
seismic,地震的,seism=earthquake；seismic waves 地震波；联想，看到的se都是is昏天暗地的mic
seismology,地震学,
seismometer,地震仪,
anti-seismic,抗震的,
shear,修剪,联想：剪耳朵
sheer,几乎透明的=almost transparent; 垂直的，陡峭的=vertical；纯粹的，完全的=complete,ee想成眼睛
sear,（烧灼）留下烙印，使枯萎,联想，s烧ear耳朵
sere,干枯的,
singe,烧焦,sin-sun，太阳太足会烧焦
scorch,烫焦，烧焦,谐音：烧烤吃；scorching summer 炎热的夏天
parch,使干枯,谐音：怕湿
scald,烫；烫伤,
scold,斥责,联系：烫伤以后被骂
slick,（皮肤等）光滑的，（人）油嘴滑舌的,"sl-""滑"""
sleek,（毛发）顺滑，光滑的，吸引人的,
slink,溜走，滑胎,
slither,滑行，滑动,蛇的滑行，snake
sloppy,邋遢的，不整洁的，不修边幅的,联想：slipper 穿拖鞋，邋遢
slippers,拖鞋,
slovenly,懒散的，不修边幅的，邋遢的,爱love死s懒死懒的
slur,含糊不清的讲；诽谤,谐音：诅咒别人s死lur了得了->诽谤
blur,使模糊不清,来自 blear a.不清楚的，模糊的（b不clear）
vague,含糊的，模糊的,模糊的时尚vogue；谐音：伟哥模糊不清
vogue,时尚,模糊vague的时尚
nebulous,模糊的，暗淡模糊的,nebul-=cloud，满天都是乌云的，很模糊看不清
nebula,星云,nebul-=cloud
obscure,模糊的，掩盖,ob-/obs-取反，来自care，没有ob被关注cure到
smirch,弄脏,由smudge变形
smear,（用湿的，粘的东西）弄脏,由smirch变形
defile,弄脏,file文件掉在地上de了
smug,洋洋得意的，自鸣得意的,"同源：smile，smuggle & smug -> ""走私成功，沾沾自喜"""
smuggle,走私,走私的是smoke/drug烟和毒品；smuggling goods 水货
traffic,非法交易,
snug,温暖而舒适的,snug && snuggle，两个人依偎在一起温暖而舒适的
snuggle,依偎，倚靠,snug变体，两个人依偎在一起温暖而舒适的
snub,冷落，怠慢，不理睬,
snob,势利小人,s+noble——贵族——势力
snobbish,势利的,
2022-07-27 学习,,
solidarity,团结,sol-=alone单独，solid固体，成为一个固体
console,安慰,"共同""安慰""一个人"
solace,安慰,
inconsolable,极度悲伤的,in-否定+console（安慰）+able能，无法被安慰的
disconsolate,孤独的，郁闷的,dis-否定+console（安慰）+ate，没有人安慰你的
sonata,奏鸣曲,son--sound
consonance,一致，和谐,声音son都一样con
dissonant,不和谐的，不一致的,声音son不一样dis
resonance,共鸣,re-back，回来re有个声音son
resound,回响,不及物动词，~ through，
sonorous,响亮的，铿锵有力的，声音洪亮的,son--sound
supersonic,超音速，超声的,super-超级，son-声音
sordid,肮脏的，下流的,联想：sore（酸）+did，做得很酸很尖刻很下流
pristine,远古的，质朴的，纯洁的,远古之前的时间，pri-pre+stin-thing，很早以前的东西都是很质朴的
squalid,肮脏的，下流的,
filth,肮脏,同源：filter 过滤
filthy,污秽的,
sovereignty,主权，主权国,由 sovereign
sovereign,君主,sove-sole，reign 表示统治，一个人sove统治reign
sporadic,零星的，偶发的,spo——spot 点，radi-=send out，发出星星点点——零星的
chronic,慢性的，长期的,
squash,镇压，压制,大家都 quiet=quell
quash,平息，镇压,quash后就quiet了
lash,鞭笞，鞭打,l开头的单音节词汇往往和细长有关
bash,猛击猛打,源自：beat
clash,冲突,border clash（边境冲突）
crash,撞击,
smash,粉碎,s+mash，源自 mash
mash,弄碎，捣碎,mashed potatoes 土豆泥
slash,（费用）削减，砍,sl-下滑的感觉
stash,隐藏，藏匿,st-站着不动的感觉，st-ash站在灰里
abash,使尴尬,a-to加强，b-打，feel ~ 感到尴尬
statute,法令，条例,来自 state，让一个国家站立的是法令
stature,名声；身材,st-站立
statue,雕像,st-站立
prestige,威望，声望,pre+stige，站在最前面的舞台上
stymie,阻扰,sty-stand+mie-me，站在我前面阻碍我
stunt,特技，阻碍动植物的生长；绝活,st-stand；令人震惊（stun）的技艺
stagnant,停滞的，不发展的,gn-gen，“产生站立不动的感觉”->停滞不发展了
stasis,停滞，不发展,
staunch,坚固的，坚定的,st-不动摇
stolid,不易激动的，感觉迟钝的，神经麻木的,联想：solid（固体）
stoic,坚韧克己之人，禁欲者,Stoic是古希腊的一个哲学流派，主张禁欲；或者 st-不易激动的人
stoical,坚忍的,
stray,迷路，偏离，漂泊，迷路的，离群的，漂泊的,~=go astray；联想 street，在马路上漂泊流浪的样子
strive,努力，奋斗,~ for sth，不及物动词；s+drive，不断驱使你去做的
struggle,斗争,~ for
subvention,补助金,vent=come（went），如invent，prevent，在下面来的->津贴，补助
advent,（气候，节气）的到来,ad-加强+vent来，加强到来
circumvent,绕路，规避,绕一圈再来
shun,故意避开,谐音：“闪“
dodge,闪身躲开，回避，逃避，托词，躲闪,谐音：“躲之”
convene,集合，召集,con-一起，一起全来时集合
contravene,违反，逾越,来到你的反面，contra-against
intervene,干涉,来到vene我们中间inter
revenue,税收，岁入,"re-back,回到国库里的钱"
bounty,赏金，赏钱（政府所给予的）,
bonus,奖金（老板给的）,
premium,保险金，保险费,pre-先，先交的钱mium-money
kickback,回扣,
dividend,股息，红利，一般用复数～s,
commission,提成,
subsidy,津贴，补助,次要的一些钱，sid来自于sit坐，坐在下面给你的钱
alimony,赡养费，生活费,aliment，营养食物，给孩子买奶粉的钱，mony->money
sully,（名誉）玷污，弄脏,来自 soil；谐音：东西“洒了”，洒衣服上了——弄脏
soil,土壤/弄脏,
sullen,闷闷不乐的,来自sole单独，新衣服弄脏了闷闷不乐
surly,脾气暴躁的,sur-sir——先生脾气暴躁
swagger,昂首阔步走,来自于wag，摇摇摆摆地走
stagger,蹒跚,
strut,昂首阔步走，趾高气昂,对照 street，在街上游行走，挺胸抬头的感觉
prance,昂首阔步走,pride骄傲，傲慢地走
sway,摇摆，摇动,来自 swing 秋千 —— 摇摆
waver,摇摆，（人）犹豫踌躇,来自 wave，er表示动作的反复
dangle,悬荡,挂在这里来回晃，谐音：荡，荡来荡去的感觉，~ sth in front of sb（吊某人胃口）
synchronous,同时,syn-same+chron-time+ous（chronic），同时的
chronological,按时间顺序排列的,时间chron上有逻辑logic的
chronometer,计时器,
anachronism,时代错乱，年代错误；不合时宜，过时,an-否定，chron-time，时间乱套了；谐音，chron错乱；
synchronize,使同步,syn-same+chron-time
chronology,年代表,ology研究chron时间的
taciturn,沉默寡言的；缄默的，沉默的,ta->他turn转变得沉默寡言了；tac-silence
tacit,默许的，心照不宣的,tac-silence
reticent,缄默的，沉默的,tic-tac-silence；联想：再一次re提ti到“钱cent”的时候沉默不语
reserved,矜持的,reserve保留/预定
withdrawn,沉默的,withdraw所有的话都收回来了
tantalize,逗弄，挑逗,希腊神话 tantalos；谐音：”忐忑“
tantrum,愤怒,谐音：别人说你“太蠢”所以发脾气
tepid,温和的,同源：temperature
trepid,胆小的,intrepid 勇敢的；源：tremble
temperate,温和的,同源：temperature
torrid,炎热的，热带的,torrid&torpid，天很热所以人死气沉沉的
torpid,（行动，情感）麻痹的，懒散的，迟缓的，死气沉沉的,torrid&torpid，天很热所以人死气沉沉的
tropical,热带的,
subtropical,亚热带的,
totter,蹒跚，踉跄,tot-tort=twist，表示扭曲，两只腿反复缠在一起走
extort,诈骗，诈取，敲诈,ex-out，把钱财向外扭出去，把钱卷走了
retort,反驳，回嘴,re-against，反扭一把
contort,扭曲,
distort,扭曲，歪曲,dis-to，加强扭曲是歪曲
torment,折磨，痛苦,tor-tort-twist+ment-mental 精神上的折磨
torture,酷刑拷打（心灵，肉体），使折磨,tort-twist，心灵和肉体上扭曲你
torturous,痛苦的，折磨的,torture变体
tortuous,迂回的，曲折的，不坦率的,tort-twist - 扭曲这个动作，形容人就是不坦率的
torrent,洪流，湍急的水流,tort中间有一个ren人，洪流把“人”卷走
trespass,侵犯，非法闯入，入侵,tres-=trans+pass；trespass on 擅自进入闯入
encroach on,逐步侵占，蚕食,联想：approach，en-加强接近——逐渐逼近
tribulation,苦难，忧患，磨难,tribute-=to give:(distribute)，给予你的磨难
tribute,贡品，礼物，颂词,给的东西，礼物
tributary,河流的支流,ary-人或者地点
retribution,报应,re=back，给予相反的东西是报应
ordeal,痛苦的经历,order+deal，被命令去做交易 deal
turbulent,狂暴的，吵闹的，骚乱的,turb-=stir 搅动（disturb）
disturb,打扰,dis-加强，turb-=stir 搅动
turbulence,气流，骚乱,打扰别人形成骚乱，turb-=stir搅动
perturb,打扰，烦扰,per-through，一直在打扰turb-=stir
turbid,浑浊的，不透明的，混乱的,turb-=stir+id形容词后缀
limpid,透明的,一般是液体清澈透明；和liquid（液体/清澈的）同源；联想：能看见“鳞片”的
diaphanous,透明的,ous是形容词后缀，dia-穿过/跨越（dialog），phan来自于现象（phenonement）这个词，穿过去能够出现的
turmoil,骚乱，混乱，动乱,把一锅油oil都给搅开turn了，turm-turn转动
ubiquitous,到处存在的，无处不在的,反义词：unique
underdog,失败者，受压迫者,在下面像狗一样的人
underrate,低估，轻视,under-=1below向下；2less than少于，不足
underestimate,低估，轻视,
overrate,高估,
undermine,暗中破坏，暗中削弱,在下面挖墙脚
underscore,强调，下划线,score可以表示乐谱，在下面画五条线->强调
underline,下划线，强调,
underhanded,不光明的，卑鄙的，人手不够的,under-缺少+hand手；或者：在下面使手腕的
underlying,在下面的，基础的,躺在底下的
upbraid,责备，谴责,br表示分歧，braid辫子，气得辫子立起来了
fulminate,严词谴责，爆炸；抨击，辱骂,FULL+mine地雷+ate，充满地雷——爆炸
inveigh,猛烈抨击,源自：vice，恶言相向
invective,恶言，谩骂的言论,源自：vice，恶言相向
reprove,谴责,re-against+prove，举反证
reproach,谴责,re-against+approach，不接近
reprehend,谴责,通过comprehend记住，不理解
reprimand,谴责,通过command记住
rebuke,谴责,拼音：不bu可ke
upstage,高傲的，傲慢的,在舞台stage上是高傲的
upstart,暴发户,starup倒过来，突然间启动爆发了；up-1上升，程度增加或者动作向上
uptight,紧张的，焦虑的,tight-紧，紧张上升
upfront,坦率的，预付的,直面front，面对这个事情，敢于直面是坦率的
upgrade,升职，提升,grade级别，级别上升
uproar,骚动，喧闹,roar-呼啸，呼啸升级
upswing,（数字的）增长，上升,swing-秋千，往上摆
upsurge,（情绪）高涨，上升,
surge,海面波浪的，汹涌起伏,通过 surf，海浪来记，在 surface 上有巨浪 surge
insurgent,动乱的，叛党,在国家内部in有汹涌的浪潮surge
usurp,篡夺，篡位,使用不法手段上位 use+up
usury,高利贷,借很多的钱去篡位usurp
utter,全然的，绝对的，发出声音，说话,ut=out
utterance,发声，说出，说话,
unutterable,不能说出的，难以言表的,un-否定+utter+able，不能un说话utter的able
vacillate,犹豫不定,vac+will+ate，一个很空的意愿
vacant,空缺,vac-van-=empty（vacant空缺的/vanish消失）表示空；
vanish,消失,vac-van-=empty（vacant空缺的/vanish消失）表示空；
oscillate,犹豫，震动，摇摆,
vacuous,空虚的，无聊的，空洞的,vac=empty
evacuate,撤离，疏散,e-向外，向外e变空vac=empty是撤离疏散
vanity,虚荣心,van=empty=虚
vain,徒劳的，无效的，自负的,vain=van=empty
vainglorious,非常虚荣的,vain=van=空glorious光荣的
evanescent,转瞬即逝的，短暂的,e-to加强+van-vanish消失+escent逐渐，逐渐消失
transient,短暂的,同源：transition 过渡 —— 短暂的
transitory,短暂的,同源：transition 过渡 —— 短暂的
ephemeral,朝生暮死的，短暂的，短命的,e-表示向外，一个现象：phenomenon，现象很快就消失了；谐音：一发没有，一发就没有了
permanent,永久（性）的，固定的,per-through+man-main，一直保持的
eternal,永久的，永恒的,
internal,内部的,
external,外部的,
everlasting,永久的，永恒的,ever+lasting，一直持续的
perpetual,永久的，永恒的,pet-寻求，per-through，一直不断在寻求，一直没有放弃
perennial,（植物）常年生的，永久的，永恒的,per-through，enni-annual，一直+年，贯穿全年的
vagrancy,（说话、思想）游移不定，漂泊，流浪,词根 vag-=wander 徘徊闲荡
vagabond,流浪汉,vag-=wander 徘徊的人
vagrant,流浪汉，流浪的，漂泊的,
extravagant,奢侈的，浪费的,漫游得过多的 extra+vag，走去了一些没有必要的地方
luxurious,奢侈的,
vagary,妄想狂想，奇想，多变,思想漫游——妄想，形近词：vary 变化；the vagaries of the weather
venom,（蛇、动物）毒液,ven(went)=come，带来 omen，被毒液带来ven了凶兆om
venomous,有毒的（蛇、动物）,
poisonous,有毒的（致命的）,
toxic,有毒的（不一定致命）,tox-表示毒
intoxicate,使陶醉，喝醉，沉醉,in-to+toxic-毒，像中毒一样陶醉于
detoxify,排毒，解毒,de-off+tox-毒，解毒
toxicology,毒物学,
toxicologist,毒物学专家,
antitoxin,抗毒素,anti-against+tox-毒
viability,生存能力,via/voy-way，有能力ability有路via可走的
viable,有生存能力的，可行的,via/voy-way，能able有路可走via的
nonviable,无法生存的，没有生存能力的,non-否定+viable
convoy,护航(voyage),con-一起+voyage路，一起走路是护航；under ~ 被护航，in ~ 在护航
convey,运送，传递（情感）,
deviation,偏离正轨,de-off+via-way，偏离主路
deviant,（行为举止，道德）异常的,de-off+via-way，偏离
devious,迂回的，曲折的，（人的性格特征）不坦率,de-off+via-way，偏离
deviousness,不坦率，狡猾,
probity,正直,
pervious,可穿透的，可渗透的,per-through+via-way，穿过一条道路 —— 可渗透的
impervious,不可穿过的，固若金汤的,im-否定+pervious
trivia,琐事,tri-三+via-way路，妇女们汇聚在三岔路口聊一天的琐事
trifle,琐事,trivia 变体
vigilant,警惕着的，警醒的,vig/veg=lively 生动的，如 vegetable
vigilante,义务警员，治安检察员,机警的vigilant人e
vigor,精力，活力,谐音：伟哥
vigorous,有活力的,
invigorate,使有活力，鼓励，激励,in+vigor+ate，加强+vigor活力
vegetate,（植物的）生长，（人）无所事事地生活,一个人天天吃菜不吃肉，乏味的生活
void,空的，无效的,id形容词后缀，vo-=vac-=空；null and void 无效的
devoid,缺乏的,de-to加强+void；devoid of sth....
warrant,授权，保证，证明正当,search/arrest warrant 搜查/逮捕令
warranty,保单，保修单,联想：worried——担心；warrant——不担心，有保证的
whim,（突发的）想法,
whimsy,怪想法，突发奇想,
whimsical,奇怪的，古怪的，荒诞的,
wile,阴谋，诡计，欺骗,来自 vile
wily,狡诈的，老奸巨猾的,
crafty,狡猾的,
wistful,渴望的，惆怅的,wist=wish，充满了wish的
yeast,酵母，兴奋,联想：feast（大餐，联想breakfast)，有人请吃大餐特别兴奋，去吃feast，感觉很yeast
ferment,发酵，骚乱=turbulence,来自 fervid
zeal,热心，热情，热诚,
zealous,热情的,
jealous,嫉妒的,be ~ of；跟zealous联想，有j的是嫉妒，z的是热情
zealog,狂热分子,
zest,热情，风味,
zenith,顶点，顶峰，天顶，最高点，事业的顶峰,与Zeus宙斯有关，他住在奥林匹斯山顶峰
nadir,低点,同源：nod点头；谐音：“那个低啊”
apex,顶点,a+pex-联想peak，一个顶峰还是顶峰
crest,（事业）顶峰，羽冠，海浪的浪尖,佳洁士：crest，波浪形的牙刷
culmination,事业的顶峰,min-突起
pinnacle,顶峰，顶点,pin——针
summit,顶峰,
2022-08-03 学习,,
inevitably,不可避免地,联想：ev二娃要走it是无法避免的事情
facilitate,促进,fac-做it走，促进这个病人il做得fac更好走得it更快
propose,建议，提出,在你面前pro摆好pose然后提出
2022-08-04 学习,,
repaid,偿还,
envelopes,信封,联想：给工程师develop发的信封
clay,黏土,
debts,债务,
batches,批次、批量,
tablet,牌匾,
association,协会,联想：cia在一起讨论ass尸体的一个协会
intellectual,知识分子,in-否定tell说，上课lecture不用in别人告诉tell你都能知道的人->知识很多，知识分子
elite,精英,
brainchild,脑力劳动的产物,大脑的孩子，那不就是说明是经过大脑生出来的吗
accountants,会计师,
awkward ,尴尬的,
grassland ,草原,
microbes,微生物,
organic ,有机的,
multitudinous,众多,
absorb ,吸收,
philosophers ,哲学家,
applicable ,适用的,
accurately ,准确,
plausibly,似是而非的,
subjects,主题,
rarer ,稀有,
diligently,努力的,
consideration,考虑,
